Username,Comment
alat pencukur jembut ,wajib diskualifikasi pokoknya 02
r z l t i s n o ,MK kok seperti berat sebelah ya
Arna Sum Justice ,takut bget pak memberikan keterangan berkaitan putusanya sendiri
wiro212 ,"ingat itu pelanggaran etik bukan pelanggaran hukum
jadi tidak ada alasan diskualifikasi"
mima icent ,DISKUALIFIKASI 02
Bhene E'O ,ternyata dkpp cuma simbol backing kpu doang yah
wiwitwidiyanto572 ,token listrik 16% makin berisik...
senada ,"baloran,kalo ada pelanggaran yg di lakukan kpu dlm pencalonan gibran,berarti tidak sah,cuma siapa yg akan memutuskan saja."
budis3188 ,rancangan besar yg sudah .....tertata
manbro87👊 ,duit LG nih
mommy2kids ,"saling lempar2 an ttg jawab antara KPU, DKPP n BANWASLU.... moga MK bs bersikap adil n independent dlm menegakan keadilan"
Suparno Kirun ,di Indonesia kejujuran itu sangat langka
user9477695191612 ,anak pa lurah mana bisa di batal kan.
dimitry ,jd saling lempar cari aman
Jony ,DKPP itu kiriman wiwi
olixofar01 ,Disqualified belimbing sayur🤣
Tipu Daya ,"Setelah kami menyimak dan memahami isi dan percakapan dipersidangan ini, kami bisa berkesimpulan bahwa semua punya rahasianya masing masing,"
Ishigaki ,saya punya pendapat kemungkinan putusan hakim tidak ada diskualifikasi atau pemungutan ulang . .
rony ,trus fungsi dkpp apa? dan termasuk bawaslu buat apa klo itu etik tp tdk ada sangsi
Curly Dastan ,"tinggal bilang salah yah salah benar dan benar itu aja kan.
knp seakan di buat susah dan sangat berat.
ya ALLAH ..
ayolah yg fer.
🙏"
agusyono445 ,❤
Yadhi Skm ,😂😂😂
AlFa S ,😳😳😳
mansaloroh7 ,𝑡𝑑𝑘 𝑓𝑎ℎ𝑎𝑚 𝑠𝑎𝑚𝑎 𝑗𝑎𝑤𝑎𝑏𝑎𝑛𝑛𝑦𝑎 𝑝𝑎𝑘 𝑑𝑘𝑝𝑝
danang ,😂😂😂
sellybiayan ,😳😳😳
ishak anggara ,🤩🤩
Hardi Ansyah ,sudah di setting 😁
ejobtea ,🥰🥰🥰
Rahmat Saputra ,🤣🤣🤣🤣🤣
Mas'irex👍🏻 ,🤣🤣😂😂🤭🤭🤭
user730377804490 ,👍👍👍👍👍
Re..Nts ,😅😂🤣
Syaprudin Bungo ,✌️
Ibrahim123@# ,😂
Ари Курниаван ,🤟🤟🤟🤟
lamsihar_siregar_888 ,Sanksi ke KPU karena KPU belum merevisi persyaratan pencalonan Ca & Cawapres setelah keputusan MK menyatakan.usia Mas Gibran sah untuk mencalonkan..
Malik Witta ,"Yes, Diskualifikasi!!!"
alphatester8 ,intinya dkpp cari aman #dahlah
Rambo07 ,kalau 02 tadinya kalah pasti pencalonan gibran tidak dipersoalkan... bukan begitu anak2 abah dan janggar ?
T a m ,"kata dkpp ada 2 poin pelanggaran etik kpu.... saya mencoba menebak = menerima berkas calon yg berkasus kah atau soal usia🤣🤣🤣
tebak2 yukzz🤣"
d'LLoyd ,ternyata semua punya kepentingan 2019 terulang lagi
keluarga CEMARA ,woy udah sepaket etamh ..paket kombo
Tagor ,"emang ada waktu utk ulang pemilu? okt sdh ngga Presiden, Nov Pilkada...."
suroto1691 ,Penyelenggara Pemilu pro dinasti kredibilitas & akuntabilitas diragukan.....
8lacksmith ,trus apa gunanya DKPP didirikan
Jon Legoo ,artinya fungsi DKPP itu utk apa????
abdulrasyid4591 ,padahal kalau pak prabowo tak memilih gibran sbgai wakil nya.pasti naik juga
Ahongwijaya ,"ini KLW Gibran dipasangkan dengan yg lain sebut saja ganjarbapa kenadiannya Akan Kaya gini,saya rasa tidak🤣
tapi KLW Gibran dipasangkan SM Ganjar juga blm tentu menang🤣🤣
yg menang ttp prabowo🤣🤣🤣"
Ihya Al Ansory ,yah diskualifikasi 🥺
Bang Aces oke ,"Jelas kan, etik pendaftaran oleh KPU. Bukan sah atau tidaknya pencalonan Gibran. Gibran ttp sah"
Uud Uus Nasgor ,terus apa gunanya dkpp kalo gak bisa menghukum
martinusdo6 ,"jika dkpp tdk bisa mengambil keputusan pelanggaran kpu, maka sdh sepantasnya mk utk menyelidikinya"
rin ,penjelasan DKPP ini sy pastikan diskualifikasi 02.
lively feel ,hanya MK yg bs memutuskan soal itu
uchy ,Tidak ada artinya keberadaan bawaslu dan dkpp.
clara_balqissucirama ,klo prosesx salah ap hasilx ds dibenarkan
bensar ,sidang pelanggaran etika kpu atas substansi teknis pelaksanaan tupoksi dlmvproses penetapn calon. bukan sidang etik atas prilaku kpu. 2 hal yg berbeda. -+maaf.
Nadivo Shop ,takut
user2007338533259 ,yg dipermasalahkan adalah kode etik bukan dasar hukum Sah atau TDK Sah.....dg dmk pencalonan Prabowo Gibran SDH sah sesuai surat keputusan MK no 90
deny setiaji ,"rata rata anak abah yg koment disini, saya pastikan anis plepsodent"
BAPAK UCU ,"selama KPK,KPU,MK msh di bawah ketiak presiden jgn harap ada keadilan"
eman ,"UTK APA DKPP DIADAKAN KAL CM UTK MENILAI TTAPI TDK BS MENGAMBIL TINDAKAN TEGAS, BUANG"" DUIT RAKYAT AJA"
ardy ,dkpp....ordal KPU..
ans_ ,halah. entah
Anak kontemporer ,"putusan mkmk pencalonan Prabowo Gibran melanggar etik berat
KPU menerima calon Prabowo Gibran melanggar etik.
knp alasan DKPP sah dan tidak sahnya."
AkarRumput80 ,Impossible bin Mustahil keadilan dan kebenaran bisa ditegakkan
erwinsyah_harahap ,kalau ada pelanggaran etik berarti KPU bersalah dong...dan pemilu tdk sah...juga 02 diskualifikasi..
ariefwijaya9271 ,"DKPP: Lu melanggar
KPU : Lalu?
DKPP: Ya udah gitu aja sihh 🤣"
warung zein ,udah pa dari pihak AMIN masalah pengajuan calon wapres gibran diajukan ke bawaslu tapi tidak ditindak lanjuti
Hakifah Hakifah ,setuju
Mudins ,02 Hrs Diskualifikasi
faisalcibin0 ,"melanggar etik atas perbuatan apa ya ?
#Melintir"
Juraganracun & benihpadi ,dkpp gak netral
Pardi Idrap ,"02 tdk bisa membantah semua dalil 01 n 03, ini artinya tuntutan 01 n 03 dikabulkan semua"
𝐁𝐔𝐌𝐈 𝐒𝐘𝐀𝐌 ,Gagal paham dgn tugas 𝔻𝕂ℙℙ dan Efek lanjutanya dari keputusan 𝔻𝕂ℙℙ. ?
Abdu Algiafari lubis ,"berarti sah ya, kpu melanggar kode etik, tpi di bidang mna? kok ngga dijelaskan 2 hal tersebut"
Dukun Pijat Nasionalis ,"sama halnya keputusan seorang dokter yg memberikan resep obat. kalau obat yg diresepkan oleh dokter berakibat vatal, apakah dokter tetap tidak bersalah dlm memberikan resep obat ?"
@᚛ᷝ ͣ ͫRyan557™ ͭ ͪ᚜ ,"hanya sekedar mengetahui, tp tdk tindak dr pelanggaran etik kpu, sma aja tdk melakukan tindakan apa2 dkpp"
pak zega ,"Karena tidak sah, maka muncullah putusan pelanggaran etik"
Putra Larantuka ,"ada 2 yg menjadi pelanggaran kapeu, tapi semua nya gx di tindak, 😂😂"
judindin ,udah di laporkan Andi. cuma gak di respon
tamsrisritam ,semoga bapak mk tidak mau di beli
Kang Pays ,# diskualifikasi 02#
ru910 ,Jelas ada pelanggaran berulang-ulang tapi kok cuma dikasih peringatan doang.
Hoby sofyan ,semoga sehat selalu semuanya tegakkan hukum untuk kepercayaan pilpres selanjutnya harus jujur dan adil 🇮🇩❤️
Nur Muhammad ,Demi keadilan hrs pilpres ULANG
X'TIAN ,lgian knp sie Mk mutuskn batas usia stlh Gibran ikut cawapres? knp jg KPU Nerima Gibran ?
PONDOK BIBIT ,"Andai kata saya gibran saya memilih saya tidak akan maju, karena saya tau bahwa putusan ini poblematik🔥🔥"
boyscout satu ,alasan nya kenapa nih?
Alimachr ,hore Capresku menang 🥰
Imam4495 ,tidak ada pemilihan ulang itu dalil DKPP
shachi & penguin ,"setelah putusan MK, kan peraturan sudah berlaku"
John Batafor ,up
I LOVE MUHAMMAD SAW ,"اللهم صل على سيدنا محمدن الفاتح لما اغلق والخاتم لما سبق ناصر الحق بالحق والهادي الى صراطك المستقيم وعلى آله حق قدره ومقداره العظيم
#UNTUK PERUBAHAN"
raffasya15 ,seharusnya 01&03 itu ke mknya sebelum pemilu di mulai kenapa sudah baru ke MK dah di MK pengajuannya sengketa hasil pilpres tpi pada kenyataan yg di bahas Jokowi dan bansos BKN hasil pilpres
Fandie Gybbran ,berarti gk ada manfaatnya dong DKPP
Bayou ,Harusnya MK focus di Bawaslu aja Krn TDK mungkin sengketa pilpres dibawa ke MK klu Bawaslu mau memproses semua laporan pelanggaran itu aja pointnya
Yuyun fashion store ,gimana ya rasa hati Gibran saat ini?
Linda Sari ,ADA SURAT SAKTI DARI PAK LURAH SIAPA YANG BERANI MENOLAK
Reyaaa ,"Gw setuju pemilu ulang. tapi dengan semua calon yang baru, tanpa anis, prabowo, ganjar dan para wakilnya."
RPBX AGENCY ,"HALLO GW DARI MASA DEPAN, 01&03 GABISA NYALONIN LAGI JADI PRESIDEN WKWKWK"
mama kembar ,"pemilu ulang suruh 01 03 biayain,96 juta golput suara..sisa suara2 dr rakyt pemilih 24 dan 16%,ga bakal Syah.. juga..banyakan golputnya."
NdanYok Yoyok Subagiono ,hey DKPP dulu mana telur atau ayam...ada kaitannya nggak telur dgn ayam...bukan ayam sayur lho ..
pacci ,"Sidang MK ini mestinya simpel saja , utk apa lama sidangnya, bukti kunci suda ada , paket Paslon 02 tdk Syah , tentu hasilnya juga tdk Syah , 02 harus"
Sunan KALIBENDHO ,sul sul samsul koe dolan nang ndi tak golekki kok ra temu
R I Dinata.SE.SS.CLA-P ,"Rusak berat KPU dan DKPP, setali 3 uang, ada kong kali kong! 😂"
JURAGAN BERAS ,Hasil dr cawe2 emang mantap. Syg anak..👍
telihan's ,"KESIMPULAN BAHWA, ADA PERBUATAN ONRECHMATIGE DAAD YG HARUS DI PERTANGGUNGJAWABAN KAN OLEH KPU"
si.rongrong ,"yakin ada bisa ngalahin bapaknya ghibran?
khalid bin walid dunia politik nih bos😎
win rate 100%"
nursaid ,ulangg biar adilll
Moeza Belvani Celine ,"IPK 2,3 hebat bgt ya .. 🤣🤣🤣"
Muh. Hafidz ,saling lempar bola panas... 🤣🤣
Yusrizal 88 ,"menabrak pagar
hingga banyak pihak menanyakan mengapa tabrak pagar."
HD MUSIC STUDIO ,dkpp sudh memberikan bahwa ad kode etik yg d langgar cuma tdk bisa memutuskan sah dan tidaknya calon di sini bagi orng yg punya akal sehat pasti paha 😁😁🍞🍞🍞🍞
samodra010 ,semoga pak purnomo mengerahkan anak buahnya utk menjemput anak abah biar gak tambah parah
Warsito ,"Tatar, tidak ada gunanya, jadi siapa yang lebih baik dari itu?"
zonanyaman35 ,"mudah2an sidang kali ini benar2 sidang atas nama kadilan dan kejujuran spy Marwah MK bisa tegak, ingat akherat ya pak"
frd09 ,yg tidak bisa di rubah itu hukumnya Alloh... hukum alloh itu nyata ..
alx jnd ,seandai ny Gibran itu bukan anak jokowi..dan jokowi itu bukan presiden mungkin beda cerita nya...😂
Baron Alvonzo ,"tua belum tentu matang bisa jadi busuk sebelum dipetik ,muda blm tentu tidak bisa matang yg penting bisa kerja dan mengemban amanat dgn baik itu baru negarawan sejati"
JAGGER LANANG ,"saling lempar bakwan kpu, panwaslu,dkpp🤣🤣🤣"
Cahaya69 ,Cuma kaya gitu doang. 😂😂😂😂😂🤣🤣🤣 DKPP
user9505081202377 ,SUDAH JELAS ADA PELANGGARAN USIA GIBRAN DIBAWAH 40. DISKUALIFIKASI PASLON 02 PRABOWO GIBRAN!!!
BLCKPNTHR ,ANUS BASWEDAN harus jadi presiden 🔥
ᴊᴀɢᴀɴɢ ᴘɪɴɢɢɪʀ ,Fix Prabowo - Gibran presiden dan wakil presiden terpilih Indonesia 🔥🔥
zav506 ,diskualifikasi 02 dan adili jokowi
tantemira4anikaanik ,mntpppp👍👍👍👍👍👍👍pk hkimmmm
Purboyo Tarihoran ,"Uang APBN Uda byk yg Habis utk PemiLu...
BijaksanaLah utk Penggunaan Uang Negara."
nurulkomariyah062 ,menang dari cina😂
Pintu langit🚀🚀 ,pelanggaran itik bang?🤣🤣
letnan atjeh ,🥵🥵🥵 cina saboh geudobg
Markeso Farm ,"prediksi sya gibran di diskualifikasi,tapi prabowo tetap di lantik tanpa wakil"
ANDY TORAJA ,"tapi sy heran knp tdk dari awal di persoalkan pd hal prabowo gibran pling lmbt mndaftar ke kpu .
smata mata ada apa bgtu"
Juan Felix Michael ,jelas2.... pemungutan ulang dan 02 didiskualifikasi
818anakrantau ,"trus apa fungsi dkpp ketika ada pelanggaran tpi tidak memberi sanksi tegas
apa hanya sebatas teguran 🙏"
Fery Khadafy ,"ayo pemilu ulang tanpa Gibran...
aku pilih Prabowo"
Hadjie ,kalah emang sesakit itu ya😂
🤗 ,"ketika 01 & 03 ngajuin
Jalur KPU : KALAH
Jalur MK : KALAH
Apakah akan ke
Jalur MUDIK : ......?"
Edy Saputra ,"Mungkinkah sidang mk ini hanya formalitas ,ujung2nya tetap sama saja"
ArayamirShop ,"Yakin Pemilu ulang, KPU sdh jadwalkan bulan Juni utk pemilu ulang"
🪷🪷M yahuu🪷💯💯♥️♥️♥️♥️ ,lebih baik pilihan ulang itu bagus
dariusrewa0 ,"ia, THN 2029😂"
Faizi ,02 Nyungsep
KAJOLE ,mungkin gw pilih pak wowo kalo wakilnya bukan dia. 2x gw pilih pak wowo loh
mjmack ,fix 02 diskualifikasi
MasWiyadi💧 ,"etiknya tdk berkaitan hukumnya 🤔🤔🤔
terus pelanggaran etik itu, yg dilanggar apa yahh...😬😬😬"
Ghayul store 97 ,melanggar etik itu bukn brrty mlnggar hukum
Arif & Zayn ,"seandai nya pemilu ulang ,pendukung 02 akan memilih siapa nanti nya? atau malah tidak memilih ?"
